Mile,Waypoint,Elev_ft,Apr-01,Apr-02,Apr-03,Apr-04,Apr-05,Apr-06,Apr-07,Apr-08,Apr-09,Apr-10,Apr-11,Apr-12,Apr-13,Apr-14,Apr-15,Apr-16,Apr-17,Apr-18,Apr-19,Apr-20,Apr-21,Apr-22,Apr-23,Apr-24,Apr-25,Apr-26,Apr-27,Apr-28,Apr-29,Apr-30,Jul-01,Jul-02,Jul-03,Jul-04,Jul-05,Jul-06,Jul-07,Jul-08,Jul-09,Jul-10,Jul-11,Jul-12,Jul-13,Jul-14,Jul-15,Jul-16,Jul-17,Jul-18,Jul-19,Jul-20,Jun-01,Jun-02,Jun-03,Jun-04,Jun-05,Jun-06,Jun-07,Jun-08,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Jun-16,Jun-17,Jun-18,Jun-19,Jun-20,Jun-21,Jun-22,Jun-23,Jun-24,Jun-25,Jun-26,Jun-27,Jun-28,Jun-29,Jun-30,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26,Mar-27,Mar-28,Mar-29,Mar-30,Mar-31,May-01,May-02,May-03,May-04,May-05,May-06,May-07,May-08,May-09,May-10,May-11,May-12,May-13,May-14,May-15,May-16,May-17,May-18,May-19,May-20,May-21,May-22,May-23,May-24,May-25,May-26,May-27,May-28,May-29,May-30,May-31
0.0,Snoqualmie Pass (Hwy 90),3193.0,49.3,49.1,48.8,48.5,48.4,48.5,48.2,47.8,47.6,47.6,47.5,47.1,46.5,46.2,45.7,45.2,44.7,44.5,44.3,44.0,43.7,43.3,42.8,42.2,41.2,40.2,39.1,38.0,36.8,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.8,77.7,78.9,80.3,81.9,82.8,81.8,81.4,80.7,78.6,75.8,73.0,70.9,70.2,68.9,68.1,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Mile 1.0,3475.0,65.0,64.7,64.3,63.8,63.7,63.8,63.3,62.8,62.5,62.4,62.3,61.7,61.0,60.5,59.9,59.2,58.5,58.1,57.8,57.4,56.9,56.4,55.7,55.0,53.7,52.3,50.8,49.4,47.8,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,75.9,77.0,78.2,79.7,80.4,79.4,79.0,78.2,76.2,73.4,70.7,68.7,67.9,66.7,65.9,65.6,4.1,4.0,3.9,3.7,3.6,3.4,3.3,3.2,3.1,2.9,2.8,2.7,2.6,2.6,2.5,2.4,2.4,2.3,2.2,2.2,2.1,2.0,1.9,1.7,1.6,1.4,1.3,1.1,1.0,0.9,0.7
2.0,Mile 2.0,2966.0,26.9,26.8,26.6,26.3,26.3,26.3,26.1,25.8,25.7,25.7,25.6,25.3,25.0,24.8,24.5,24.1,23.8,23.6,23.4,23.3,23.0,22.8,22.5,22.1,21.6,20.9,20.3,19.6,18.9,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,70.9,71.9,73.0,74.4,75.0,74.1,73.6,72.8,70.8,68.1,65.5,63.4,62.6,61.5,60.7,60.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,Mile 3.0,3314.0,54.8,54.6,54.2,53.7,53.6,53.6,53.2,52.7,52.4,52.4,52.2,51.7,51.0,50.6,50.0,49.3,48.7,48.3,48.0,47.6,47.2,46.7,46.1,45.4,44.2,43.0,41.7,40.4,39.0,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,72.9,73.9,75.0,76.4,77.0,76.1,75.6,74.7,72.7,70.1,67.5,65.4,64.6,63.4,62.7,62.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,Mile 4.0,3816.0,64.0,63.7,63.3,62.8,62.7,62.6,62.2,61.6,61.3,61.2,61.0,60.4,59.7,59.2,58.6,57.8,57.0,56.6,56.2,55.8,55.3,54.7,54.0,53.3,52.0,50.6,49.2,47.7,46.2,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.7,74.6,75.5,76.6,77.9,78.5,77.6,77.0,76.2,74.2,71.6,69.0,67.0,66.1,65.0,64.2,63.9,22.7,21.9,21.2,20.4,19.6,19.0,18.3,17.6,16.9,16.3,15.7,15.2,14.7,14.3,14.0,13.6,13.4,13.2,12.8,12.4,12.1,11.6,11.0,10.3,9.5,8.8,8.1,7.3,6.6,6.0,5.4
5.0,Gold Lake Bog area,3983.0,63.4,63.1,62.7,62.2,62.0,61.9,61.5,60.9,60.6,60.4,60.3,59.6,58.9,58.4,57.7,56.9,56.1,55.6,55.2,54.8,54.2,53.7,52.9,52.2,50.9,49.6,48.2,46.7,45.1,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,73.9,74.7,75.7,76.9,77.5,76.6,76.0,75.1,73.1,70.6,68.0,66.0,65.1,64.0,63.3,62.9,31.4,30.4,29.3,28.2,27.2,26.3,25.3,24.4,23.5,22.6,21.9,21.2,20.5,19.9,19.5,19.1,18.7,18.4,17.9,17.5,17.0,16.4,15.6,14.7,13.7,12.8,11.8,10.8,9.9,9.1,8.3
6.0,Mile 6.0,4604.0,70.1,69.9,69.4,68.9,68.8,68.7,68.3,67.7,67.4,67.3,67.1,66.5,65.8,65.2,64.6,63.8,63.0,62.6,62.2,61.8,61.3,60.7,60.0,59.3,58.0,56.6,55.2,53.7,52.2,50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,12.0,11.2,10.5,9.8,9.2,8.8,8.5,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,79.3,79.2,80.1,81.2,82.5,83.1,82.1,81.6,80.7,78.8,76.1,73.6,71.5,70.7,69.5,68.8,68.4,51.9,50.5,49.0,47.5,46.1,44.8,43.5,42.2,40.9,39.7,38.6,37.6,36.6,35.7,35.1,34.4,33.9,33.5,32.7,32.1,31.4,30.4,29.3,28.0,26.5,25.2,23.7,22.3,21.0,19.8,18.6
7.0,Mile 7.0,4982.0,71.8,71.5,71.1,70.6,70.4,70.3,69.9,69.3,69.0,68.8,68.7,68.0,67.3,66.8,66.1,65.3,64.5,64.0,63.6,63.2,62.6,62.0,61.3,60.6,59.3,57.9,56.5,55.0,53.5,52.0,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,25.1,24.0,22.9,21.8,20.8,20.0,19.3,18.9,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,80.4,80.3,81.1,82.1,83.4,83.9,83.0,82.5,81.5,79.6,77.0,74.5,72.5,71.6,70.5,69.7,69.4,54.4,53.0,51.5,50.0,48.6,47.3,46.0,44.7,43.5,42.3,41.2,40.3,39.3,38.5,37.8,37.2,36.7,36.3,35.6,35.0,34.3,33.4,32.3,31.1,29.7,28.4,27.0,25.7,24.5,23.3,22.3
8.0,Mile 8.0,5396.0,73.9,73.6,73.2,72.6,72.4,72.3,71.8,71.3,70.9,70.8,70.6,70.0,69.2,68.7,68.0,67.2,66.3,65.8,65.4,65.0,64.4,63.8,63.1,62.3,61.0,59.7,58.3,56.8,55.2,53.7,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,30.6,29.6,28.5,27.5,26.6,25.8,25.2,24.8,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,81.7,81.6,82.4,83.4,84.6,85.1,84.2,83.6,82.7,80.7,78.2,75.7,73.7,72.7,71.7,70.9,70.6,57.4,56.0,54.6,53.0,51.6,50.4,49.1,47.8,46.6,45.4,44.4,43.5,42.6,41.7,41.1,40.5,40.1,39.6,38.9,38.4,37.8,36.9,35.9,34.7,33.3,32.1,30.9,29.6,28.5,27.4,26.4
9.0,Mile 9.0,5460.0,73.2,72.9,72.5,71.9,71.7,71.6,71.1,70.5,70.2,70.0,69.8,69.2,68.4,67.8,67.1,66.3,65.4,64.9,64.4,63.9,63.3,62.7,61.9,61.2,59.9,58.5,57.1,55.6,54.1,52.6,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,31.0,30.1,29.1,28.2,27.4,26.7,26.1,25.7,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,81.0,80.9,81.7,82.6,83.7,84.2,83.4,82.7,81.8,79.9,77.4,74.9,72.9,72.0,70.9,70.2,69.8,56.5,55.1,53.6,52.1,50.6,49.4,48.2,46.9,45.7,44.6,43.5,42.7,41.7,41.0,40.3,39.8,39.3,38.9,38.3,37.8,37.2,36.3,35.4,34.3,33.0,31.9,30.7,29.5,28.5,27.5,26.5
10.0,Chikamin Peak area,5192.0,70.4,70.1,69.6,69.1,68.8,68.7,68.2,67.6,67.2,67.0,66.8,66.2,65.4,64.8,64.1,63.2,62.3,61.7,61.2,60.7,60.1,59.4,58.7,57.9,56.6,55.2,53.8,52.3,50.8,49.2,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,26.8,26.0,25.0,24.2,23.4,22.8,22.2,21.9,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,78.8,78.7,79.4,80.3,81.4,81.9,81.0,80.4,79.4,77.6,75.1,72.7,70.7,69.7,68.6,67.9,67.5,52.3,50.9,49.4,47.8,46.4,45.2,43.9,42.7,41.5,40.4,39.4,38.5,37.6,36.8,36.2,35.7,35.2,34.8,34.2,33.7,33.1,32.3,31.5,30.4,29.2,28.1,27.0,25.9,24.9,24.0,23.1
11.0,Mile 11.0,5368.0,71.6,71.3,70.8,70.2,70.0,69.8,69.3,68.7,68.3,68.2,68.0,67.3,66.5,65.9,65.2,64.3,63.3,62.7,62.2,61.7,61.1,60.4,59.6,58.9,57.6,56.2,54.8,53.2,51.7,50.1,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,29.1,28.2,27.3,26.5,25.8,25.1,24.6,24.3,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,79.7,79.6,80.3,81.2,82.2,82.7,81.9,81.2,80.3,78.4,75.9,73.5,71.6,70.5,69.5,68.8,68.4,53.7,52.3,50.8,49.2,47.8,46.5,45.3,44.1,42.9,41.8,40.8,39.9,39.0,38.3,37.6,37.1,36.7,36.3,35.7,35.2,34.6,33.8,32.9,31.9,30.7,29.7,28.6,27.5,26.5,25.6,24.8
12.0,Mile 12.0,5153.0,69.3,69.0,68.5,67.9,67.7,67.5,67.0,66.4,66.0,65.8,65.6,64.9,64.1,63.5,62.8,61.8,60.8,60.3,59.7,59.2,58.6,57.9,57.1,56.3,55.0,53.6,52.2,50.6,49.1,47.5,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,25.8,25.0,24.1,23.4,22.7,22.1,21.6,21.3,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,77.9,77.8,78.4,79.3,80.4,80.8,80.0,79.4,78.4,76.6,74.1,71.7,69.8,68.7,67.7,67.0,66.6,50.4,49.0,47.5,45.9,44.5,43.2,42.0,40.8,39.6,38.5,37.5,36.7,35.8,35.0,34.4,33.9,33.5,33.1,32.5,32.0,31.5,30.7,29.9,28.9,27.8,26.8,25.7,24.7,23.8,22.9,22.1
13.0,Mile 13.0,5619.0,72.5,72.2,71.7,71.1,70.8,70.6,70.1,69.5,69.1,68.9,68.7,68.0,67.2,66.5,65.8,64.9,63.8,63.2,62.6,62.1,61.4,60.7,59.9,59.1,57.8,56.4,55.0,53.4,51.8,50.3,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,32.0,31.2,30.4,29.7,29.1,28.5,28.0,27.8,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,80.2,80.1,80.7,81.6,82.6,83.0,82.2,81.6,80.6,78.8,76.4,74.0,72.0,71.0,69.9,69.2,68.9,54.6,53.1,51.6,50.0,48.6,47.3,46.1,44.9,43.7,42.7,41.7,40.8,40.0,39.2,38.7,38.1,37.7,37.3,36.8,36.3,35.8,35.1,34.3,33.3,32.3,31.3,30.3,29.3,28.4,27.6,26.8
14.0,Mile 14.0,5783.0,73.8,73.4,73.0,72.3,72.1,71.8,71.3,70.7,70.3,70.1,69.9,69.2,68.4,67.7,66.9,66.0,64.9,64.3,63.7,63.2,62.5,61.8,61.0,60.2,58.8,57.4,56.0,54.4,52.8,51.2,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.3,32.5,31.9,31.2,30.7,30.2,30.0,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,81.1,81.0,81.6,82.5,83.5,84.0,83.2,82.5,81.5,79.7,77.3,75.0,73.0,71.9,70.9,70.2,69.8,56.0,54.6,53.0,51.5,50.0,48.7,47.5,46.3,45.1,44.1,43.1,42.2,41.4,40.6,40.1,39.5,39.1,38.7,38.2,37.7,37.2,36.5,35.7,34.8,33.7,32.8,31.8,30.9,30.0,29.2,28.4
15.0,Park Lakes Basin,5643.0,73.0,72.7,72.2,71.6,71.3,71.1,70.6,70.0,69.6,69.4,69.1,68.4,67.6,67.0,66.2,65.2,64.2,63.6,63.0,62.4,61.8,61.1,60.2,59.4,58.1,56.7,55.2,53.7,52.1,50.5,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,32.0,31.3,30.5,29.8,29.1,28.6,28.1,27.9,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,80.7,80.6,81.2,82.1,83.1,83.5,82.8,82.1,81.2,79.4,76.9,74.5,72.6,71.5,70.5,69.8,69.4,54.8,53.4,51.8,50.2,48.8,47.5,46.3,45.1,43.9,42.8,41.8,40.9,40.1,39.3,38.7,38.2,37.8,37.4,36.8,36.4,35.8,35.1,34.3,33.4,32.3,31.3,30.3,29.3,28.5,27.6,26.8
16.0,Mile 16.0,5425.0,71.4,71.1,70.6,70.0,69.7,69.5,68.9,68.4,67.9,67.7,67.5,66.8,66.0,65.3,64.5,63.6,62.5,61.9,61.3,60.7,60.1,59.4,58.5,57.7,56.4,55.0,53.5,52.0,50.4,48.8,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,28.8,28.1,27.3,26.6,26.0,25.4,25.0,24.7,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,79.5,79.4,80.1,81.0,81.9,82.4,81.6,81.0,80.0,78.2,75.8,73.4,71.4,70.3,69.3,68.6,68.2,52.4,51.0,49.4,47.8,46.4,45.1,43.9,42.6,41.4,40.3,39.3,38.5,37.6,36.8,36.2,35.7,35.3,34.9,34.3,33.9,33.3,32.6,31.8,30.9,29.8,28.8,27.8,26.8,25.9,25.1,24.3
